1,1,California,37253956,1,33871648,29780021,53,55,702905,639088,615848,11.91%
2,2,Texas,25145561,2,20851820,17986510,32,34,785799,651619,613289,8.04%
3,3,"New York",19378102,3,18976457,17980455,29,31,668210,654361,612144,6.19%
4,4,Florida,18801310,4,15982378,12937926,25,27,752052,639295,591940,6.01%
5,5,Illinois,12830632,5,12419293,11630602,19,21,675296,653647,591395,4.10%
6,6,Pennsylvania,12702379,6,12281054,11881643,19,21,668546,646371,584812,4.06%
7,7,Ohio,11536504,7,11353140,10847115,18,20,640917,630730,567657,3.69%
8,8,Michigan,9883640,8,9938444,9295297,15,17,658909,662563,584614,3.16%
9,9,Georgia,9687653,10,8186453,6478218,13,15,745204,629727,545764,3.10%
10,10,"North Carolina",9535483,11,8049313,6628837,13,15,733499,619178,536621,3.05%
11,11,"New Jersey",8791894,9,8414350,7730188,13,15,676300,647258,560957,2.81%
12,12,Virginia,8001024,12,7078515,6187358,11,13,727366,643501,544501,2.56%
13,13,Washington,6724540,15,5894121,4886892,9,11,747171,654902,535829,2.15%
14,14,Massachusetts,6547629,13,6349097,6016425,10,12,654763,634910,529091,2.04%
15,15,Indiana,6483802,14,6080485,5544159,9,11,720422,675609,552771,2.07%
16,16,Arizona,6392017,20,5130632,3685228,8,10,799002,641329,513063,2.04%
17,17,Tennessee,6346105,16,5689283,4877185,9,11,705123,632143,517208,2.03%
18,18,Missouri,5988927,17,5595211,5117073,9,11,665436,621690,508656,1.91%
19,19,Maryland,5773552,19,5296486,4781468,8,10,721694,662061,529649,1.85%
20,20,Wisconsin,5686986,18,5363675,4891768,8,10,710873,670459,536368,1.82%
21,21,Minnesota,5303925,21,4919479,4375898,8,10,662991,614935,491948,1.70%
22,22,Colorado,5029196,24,4301261,3294394,7,9,720704,614466,477918,1.61%
23,23,Alabama,4779736,23,4447100,4040587,7,9,682819,635300,494122,1.53%
24,24,"South Carolina",4625364,26,4012012,3486703,6,8,770894,668669,501502,1.48%
25,25,Louisiana,4533372,22,4468976,4219973,7,9,647625,638425,496553,1.45%
26,26,Kentucky,4339367,25,4041769,3685296,6,8,723228,673628,505221,1.39%
27,27,Oregon,3831074,28,3421399,2842321,5,7,766215,684280,488771,1.22%
28,28,Oklahoma,3751351,27,3450654,3145585,5,7,750270,690131,492951,1.20%
¡X,29,"Puerto Rico",3725789,¡X,3808610,3522037,6*,0,¡X,¡X,¡X,1.19%
29,30,Connecticut,3574097,29,3405565,3287116,5,7,714819,681113,486509,1.14%
30,31,Iowa,3046355,30,2926324,2776755,5,7,609271,585265,418046,0.97%
31,32,Mississippi,2967297,31,2844658,2573216,4,6,741824,711165,474110,0.95%
32,33,Arkansas,2915918,33,2673400,2350725,4,6,728980,668350,445567,0.93%
33,34,Kansas,2853118,32,2688418,2477574,4,6,713280,672105,448070,0.91%
34,35,Utah,2763885,34,2233169,1722850,3,5,921295,744390,446634,0.88%
35,36,Nevada,2700551,35,1998257,1201833,3,5,900184,666086,399651,0.86%
36,37,"New Mexico",2059179,36,1819046,1515069,3,5,686393,606349,363809,0.66%
37,38,"West Virginia",1852994,37,1808344,1793477,3,5,617665,602781,361669,0.59%
38,39,Nebraska,1826341,38,1711263,1578385,3,5,608780,570421,342253,0.58%
39,40,Idaho,1567582,39,1293953,1006748,2,4,783791,646977,323488,0.51%
40,41,Hawaii,1360301,42,1211537,1108228,2,4,680151,605769,302884,0.43%
41,42,Maine,1328361,40,1274923,1227928,2,4,664181,637462,318731,0.42%
42,43,"New Hampshire",1316470,41,1235786,1109525,2,4,658235,617893,308947,0.42%
43,44,"Rhode Island",1052567,43,1048319,1003464,2,4,526284,524160,262080,0.34%
44,45,Montana,989415,44,902195,799065,1,3,999243,902195,300732,0.32%
45,46,Delaware,897934,45,783600,666188,1,3,900877,783600,261200,0.29%
46,47,"South Dakota",814180,46,754844,696064,1,3,814180,754844,251615,0.26%
47,48,Alaska,710231,48,626932,550043,1,3,710231,626932,208977,0.23%
48,49,"North Dakota",672591,47,642200,638800,1,3,672591,642200,214067,0.21%
49,50,Vermont,625741,49,608827,562758,1,3,625741,608827,202942,0.20%
¡X,51,"Washington DC",601723,¡X,572059,606900,(1)[7],3,¡X,¡X,190686,0.19%
50,52,Wyoming,563626,50,493782,453588,1,3,563626,493782,164594,0.18%